epoch,adjacency_train_loss,adjacency_test_loss,distance_train_loss,distance_test_loss
0,0.3220558100763489,0.404459148645401,0.31886945230265457,0.21652600169181824
1,0.0834179743028739,0.17736868560314178,0.07553899196871355,0.11013706773519516
2,0.06524823770365294,0.2900160253047943,0.07409481262313385,0.21340283751487732
3,0.06657813845531028,0.09838439524173737,0.06626377108634687,0.09666147828102112
4,0.06228911062227745,0.1254848837852478,0.05586792305842334,0.084414541721344
5,0.060049751043027524,0.1060393825173378,0.05745602253020978,0.14355964958667755
6,0.04527101408251945,0.09986422955989838,0.054560715095231346,0.1236560121178627
7,0.04558772144510465,0.07049115747213364,0.05056749269658444,0.07721419632434845
8,0.052879249311837496,0.1115812361240387,0.050887910521351824,0.058179594576358795
9,0.049480113036492294,0.06436596810817719,0.04897171541975409,0.07055430859327316
10,0.04727112267202899,0.10341127216815948,0.04694715439908061,0.054073356091976166
11,0.0471377866525276,0.06896378099918365,0.04337762362853277,0.13895684480667114
12,0.04492598615002399,0.03687630966305733,0.047053702303445806,0.04484265670180321
13,0.04920599730137516,0.12766173481941223,0.047753677694309576,0.03115156851708889
14,0.0424901640553977,0.09718775749206543,0.044764385951281176,0.033520374447107315
15,0.04561529923960859,0.0835062563419342,0.044917929981488226,0.07226833701133728
16,0.040479810168857086,0.14225421845912933,0.04372050135633817,0.08896520733833313
17,0.05280138948457498,0.08253160119056702,0.051404482201106994,0.14307533204555511
18,0.04549866034558006,0.09068071842193604,0.039738671826746536,0.0458986759185791
19,0.038492468989216815,0.07368632405996323,0.05275534162772637,0.03676844760775566
20,0.03982532763963237,0.037702493369579315,0.04516053738474261,0.07266116142272949
21,0.04778040680742147,0.05343727767467499,0.042629689434725865,0.03849498927593231
22,0.041556158048265124,0.048206914216279984,0.04430452015652668,0.25442707538604736
23,0.037746030618162715,0.042250875383615494,0.043217638726620114,0.04819691553711891
24,0.04665268320298078,0.08870647102594376,0.04279165013748057,0.13073846697807312
25,0.03808104262376825,0.04567854106426239,0.03795233802577736,0.050156086683273315
26,0.039795190926787315,0.07094132900238037,0.03425849801586831,0.06333684921264648
27,0.04247281438324089,0.19819962978363037,0.04082027359810822,0.0760311409831047
28,0.037721032568929246,0.13645793497562408,0.036111303395135144,0.03878801316022873
29,0.043013951750289575,0.15432202816009521,0.04169831359211136,0.19064125418663025
30,0.03846755059089,0.1643010377883911,0.04587699708474033,0.06895802170038223
31,0.03665917715075992,0.18368326127529144,0.03695023742814859,0.10246534645557404
32,0.037666329602692644,0.19449251890182495,0.0354041513055563,0.1220657154917717
