epoch,adjacency_train_loss,adjacency_test_loss,distance_train_loss,distance_test_loss
0,0.28412545103506714,0.1533285677433014,0.3526509214996123,0.2198219895362854
1,0.07723507480513231,0.09948255866765976,0.09186764978164551,0.06330381333827972
2,0.06316701374838457,0.07237665355205536,0.06593795226631212,0.06921602040529251
3,0.05831780720173436,0.1608436107635498,0.06500547910657,0.04755361005663872
4,0.060650642687345255,0.10955185443162918,0.05118509172005396,0.04309961572289467
5,0.050061085864025,0.08753269165754318,0.05403533943143545,0.12685075402259827
6,0.056791175449011376,0.08288481086492538,0.055192847151820566,0.11028602719306946
7,0.04476469349773491,0.04185944050550461,0.05329078364679042,0.20170371234416962
8,0.05175563241994264,0.03735380992293358,0.05240635520906425,0.15474580228328705
9,0.05045108075308449,0.04276887699961662,0.05375538828472296,0.12047572433948517
10,0.04503143146889759,0.07261886447668076,0.047644430442767984,0.08472414314746857
11,0.04610295343559747,0.26725396513938904,0.051229654519143054,0.12998704612255096
12,0.05393462571516341,0.07931878417730331,0.05039928659942804,0.057959169149398804
13,0.04322627893484691,0.10441121459007263,0.04779169003607011,0.031104180961847305
14,0.03871596004704342,0.09389089792966843,0.045528501235679086,0.17420263588428497
15,0.03741222249307469,0.1293802410364151,0.04482530996057333,0.17026683688163757
16,0.055538079208310914,0.0666237473487854,0.04759910976623788,0.10376705229282379
17,0.04252568792150009,0.0446946956217289,0.04521420603508458,0.1826450377702713
18,0.04251657782451195,0.04886895790696144,0.04155539859122798,0.03882548585534096
19,0.04732380027645359,0.0519975870847702,0.04345755192323351,0.09878379106521606
20,0.04071154741241651,0.08420724421739578,0.0475867407980795,0.12607607245445251
21,0.037541414337123144,0.11829274892807007,0.0417697562872633,0.13298700749874115
22,0.03951651576504696,0.12881702184677124,0.043694238461481,0.06017988547682762
23,0.042600520840827744,0.05096806585788727,0.043560647916998346,0.17559528350830078
24,0.0401180237531662,0.06464818865060806,0.0487717844125833,0.14687180519104004
25,0.03936414424256951,0.09447634220123291,0.0373046186880446,0.09136198461055756
26,0.04314488828109175,0.1173476129770279,0.04267829053067401,0.16392269730567932
27,0.03301569119132325,0.08411543071269989,0.04856507362359587,0.15916377305984497
28,0.03244275160992116,0.10140819102525711,0.04367993738246607,0.17246712744235992
