model_type,train_mae,train_r2,train_rmse,test_mae,test_r2,test_rmse,feature_count,sample_count
STGCN_Adjacency_Original,0.03562581371588772,0.8869897652197009,0.04709737970269923,0.16514362569770366,-1.651012975928515,0.20610607859540986,105,665
STGCN_Distance_Original,0.039471672325478234,0.8714918794906645,0.05022305686612644,0.14921112353955815,-1.3150929977866004,0.19260568174400472,105,665
