epoch,adjacency_train_loss,adjacency_test_loss,distance_train_loss,distance_test_loss
0,0.7362228313497469,1.892049789428711,0.7287081934365571,1.9914568662643433
1,0.29387134211320504,0.9876484870910645,0.26648078011531456,1.1538078784942627
2,0.18290532015117944,0.5581551194190979,0.17208684155461834,0.6822269558906555
3,0.12960496493706516,0.5142268538475037,0.13416940689671272,0.5813616514205933
4,0.11314020433700551,0.5318516492843628,0.12905006863030732,0.5312135815620422
5,0.10964082017102662,0.48733028769493103,0.10773040613561284,0.5754892230033875
6,0.1200323596450628,0.42872196435928345,0.09744553614919092,0.705036461353302
7,0.10258426572031834,0.4142855405807495,0.09708322818372764,0.5809826254844666
8,0.09976748019164684,0.33956125378608704,0.11579305313381494,0.4906788766384125
9,0.0818684728925719,0.4056571424007416,0.08982592802859989,0.4884215295314789
10,0.08433549664914608,0.4717758893966675,0.09315206388048097,0.46474581956863403
11,0.09254234485036018,0.3617987036705017,0.07815397337225138,0.4270527958869934
12,0.06883884398449286,0.2808898389339447,0.08661473745151478,0.43707728385925293
13,0.07081720415575832,0.32712164521217346,0.07644680314058182,0.3896971344947815
14,0.07265123184405121,0.3163105249404907,0.06879977699296147,0.4616067707538605
15,0.08015782939379706,0.3107396066188812,0.08656039410362057,0.42213529348373413
16,0.07661311207887005,0.29384729266166687,0.07659487729417343,0.3742424249649048
17,0.08521942219094318,0.30440711975097656,0.07486669750263293,0.3936106860637665
18,0.0714602949937769,0.2715352177619934,0.07687154423226328,0.4338209629058838
19,0.07421840307321034,0.3453858196735382,0.08111038089127225,0.4043678641319275
20,0.08596118265653357,0.2375384122133255,0.07421864901541494,0.4562532901763916
21,0.06671465031218295,0.3149147033691406,0.08311949648401316,0.401650071144104
22,0.06262593044369828,0.2757701575756073,0.0806054288028356,0.4359623193740845
23,0.06833679400676605,0.27123022079467773,0.07399034306553065,0.35191458463668823
24,0.07055159389753551,0.2141128033399582,0.06592311375938795,0.373563289642334
25,0.06006621443392599,0.3023776412010193,0.06342872151849317,0.4096146821975708
26,0.06380987280578006,0.2474823296070099,0.06711547334185418,0.3359041213989258
27,0.0723191413699704,0.24617356061935425,0.07392061408609152,0.3282504975795746
28,0.07590878860769319,0.3147094249725342,0.07824282874079312,0.3223390579223633
29,0.07077248162571706,0.2501513361930847,0.05892754050300402,0.3401249945163727
30,0.08026563230098463,0.375775545835495,0.06191365143247679,0.28852492570877075
31,0.07770435921117372,0.26087048649787903,0.06832950127621491,0.33521148562431335
32,0.06287394737934365,0.38239437341690063,0.05916338105339045,0.3480880856513977
33,0.05630757825850856,0.22135134041309357,0.07172504786913302,0.3864406943321228
34,0.05609269031122619,0.2871406674385071,0.06429574594778173,0.2965986430644989
35,0.05458367270800997,0.4062490463256836,0.0651273347218247,0.43280938267707825
36,0.059769220887592026,0.2893011271953583,0.06650863250023593,0.3116351366043091
37,0.05731163608531157,0.2618873715400696,0.06500374938489176,0.3722175657749176
38,0.052616194000138956,0.24658051133155823,0.06540926666382481,0.33064642548561096
39,0.05339322312205445,0.25538280606269836,0.05534107612409428,0.31440621614456177
40,0.050717209118838404,0.22607074677944183,0.05756510105714494,0.35815098881721497
41,0.058645813981545905,0.2228722870349884,0.05357173123561284,0.267894446849823
42,0.0513643475760724,0.2363547682762146,0.060155303290515556,0.27094924449920654
43,0.05334298767368583,0.2224966138601303,0.06140425852408596,0.281564325094223
44,0.054032104053333696,0.27251753211021423,0.06005208731135901,0.27373120188713074
