epoch,train_loss,test_loss,learning_rate
0,0.5600723855051339,3.428152084350586,0.001
1,0.368359540607415,2.944922685623169,0.001
2,0.3261416262271358,2.7571566104888916,0.001
3,0.30900424017625694,2.77899432182312,0.001
4,0.31166166446956933,2.874992847442627,0.001
5,0.28529485767962887,2.8552944660186768,0.001
6,0.27715812097577486,2.7580394744873047,0.001
7,0.25110603138512255,2.925340175628662,0.001
8,0.24732902412321053,2.883297920227051,0.001
9,0.2354680663522552,2.6660444736480713,0.001
10,0.24434834265825794,2.4500114917755127,0.001
11,0.23266071899264468,3.020132541656494,0.001
12,0.218217420519567,2.596141815185547,0.001
13,0.2213987101819001,2.8698551654815674,0.001
14,0.21084792356865079,2.6807103157043457,0.001
15,0.21259506850265988,2.658794641494751,0.001
16,0.21516482532024384,2.602085828781128,0.001
17,0.20847123744441012,2.5997743606567383,0.001
18,0.20835374149621702,2.6184937953948975,0.001
19,0.20418930754942052,2.452802896499634,0.001
20,0.189723185172268,2.7061405181884766,0.001
21,0.1890836501238393,2.6019437313079834,0.0005
22,0.17527497033862507,2.6920807361602783,0.0005
23,0.1798187269299638,2.6070306301116943,0.0005
24,0.17776676647219003,2.6344492435455322,0.0005
25,0.17787885110752255,2.4717931747436523,0.0005
26,0.17303314279107487,2.700576066970825,0.0005
27,0.16858699391869938,2.6342780590057373,0.0005
28,0.16185704297294803,2.4282872676849365,0.0005
29,0.1739662822847273,2.4876201152801514,0.0005
30,0.1645307178590812,2.553029775619507,0.0005
31,0.16091821371924644,2.4265778064727783,0.0005
32,0.15968767714266682,2.5550804138183594,0.0005
33,0.15813065758522818,2.234854221343994,0.0005
34,0.16177582331732207,2.4581820964813232,0.0005
35,0.1528414952404359,2.3767495155334473,0.0005
36,0.16302233539959965,2.423189878463745,0.0005
37,0.1542501646806212,2.4278576374053955,0.0005
38,0.15405887789001652,2.496090888977051,0.0005
39,0.15192865521884433,2.3863282203674316,0.0005
40,0.160938321667559,2.42253041267395,0.0005
41,0.1456403324709219,2.505333423614502,0.0005
42,0.15264379627564373,2.553717851638794,0.0005
43,0.1459399341952567,2.4242074489593506,0.0005
44,0.14816514008185444,2.361870288848877,0.00025
45,0.1382180781779336,2.417262315750122,0.00025
46,0.14429091428424798,2.3884997367858887,0.00025
47,0.14167426950206943,2.403585195541382,0.00025
48,0.14483658954793333,2.3967108726501465,0.00025
49,0.1360960285745415,2.567303419113159,0.00025
50,0.14387612658388474,2.4712212085723877,0.00025
51,0.13925287565764258,2.373736619949341,0.00025
52,0.14363445312369102,2.4733660221099854,0.00025
53,0.14156974092418073,2.378697633743286,0.00025
